U+A000	ꀀ	uA000
U+A001	ꀁ	uA001
U+A002	ꀂ	uA002
U+A003	ꀃ	uA003
U+A004	ꀄ	uA004
U+A005	ꀅ	uA005
U+A006	ꀆ	uA006
U+A007	ꀇ	uA007
U+A008	ꀈ	uA008
U+A009	ꀉ	uA009
U+A00A	ꀊ	uA00A
U+A00B	ꀋ	uA00B
U+A00C	ꀌ	uA00C
U+A00D	ꀍ	uA00D
U+A00E	ꀎ	uA00E
U+A00F	ꀏ	uA00F
U+A010	ꀐ	uA010
U+A011	ꀑ	uA011
U+A012	ꀒ	uA012
U+A013	ꀓ	uA013
U+A014	ꀔ	uA014
U+A015	ꀕ	uA015
U+A016	ꀖ	uA016
U+A017	ꀗ	uA017
U+A018	ꀘ	uA018
U+A019	ꀙ	uA019
U+A01A	ꀚ	uA01A
U+A01B	ꀛ	uA01B
U+A01C	ꀜ	uA01C
U+A01D	ꀝ	uA01D
U+A01E	ꀞ	uA01E
U+A01F	ꀟ	uA01F
U+A020	ꀠ	uA020
U+A021	ꀡ	uA021
U+A022	ꀢ	uA022
U+A023	ꀣ	uA023
U+A024	ꀤ	uA024
U+A025	ꀥ	uA025
U+A026	ꀦ	uA026
U+A027	ꀧ	uA027
U+A028	ꀨ	uA028
U+A029	ꀩ	uA029
U+A02A	ꀪ	uA02A
U+A02B	ꀫ	uA02B
U+A02C	ꀬ	uA02C
U+A02D	ꀭ	uA02D
U+A02E	ꀮ	uA02E
U+A02F	ꀯ	uA02F
U+A030	ꀰ	uA030
U+A031	ꀱ	uA031
U+A032	ꀲ	uA032
U+A033	ꀳ	uA033
U+A034	ꀴ	uA034
U+A035	ꀵ	uA035
U+A036	ꀶ	uA036
U+A037	ꀷ	uA037
U+A038	ꀸ	uA038
U+A039	ꀹ	uA039
U+A03A	ꀺ	uA03A
U+A03B	ꀻ	uA03B
U+A03C	ꀼ	uA03C
U+A03D	ꀽ	uA03D
U+A03E	ꀾ	uA03E
U+A03F	ꀿ	uA03F
U+A040	ꁀ	uA040
U+A041	ꁁ	uA041
U+A042	ꁂ	uA042
U+A043	ꁃ	uA043
U+A044	ꁄ	uA044
U+A045	ꁅ	uA045
U+A046	ꁆ	uA046
U+A047	ꁇ	uA047
U+A048	ꁈ	uA048
U+A049	ꁉ	uA049
U+A04A	ꁊ	uA04A
U+A04B	ꁋ	uA04B
U+A04C	ꁌ	uA04C
U+A04D	ꁍ	uA04D
U+A04E	ꁎ	uA04E
U+A04F	ꁏ	uA04F
U+A050	ꁐ	uA050
U+A051	ꁑ	uA051
U+A052	ꁒ	uA052
U+A053	ꁓ	uA053
U+A054	ꁔ	uA054
U+A055	ꁕ	uA055
U+A056	ꁖ	uA056
U+A057	ꁗ	uA057
U+A058	ꁘ	uA058
U+A059	ꁙ	uA059
U+A05A	ꁚ	uA05A
U+A05B	ꁛ	uA05B
U+A05C	ꁜ	uA05C
U+A05D	ꁝ	uA05D
U+A05E	ꁞ	uA05E
U+A05F	ꁟ	uA05F
U+A060	ꁠ	uA060
U+A061	ꁡ	uA061
U+A062	ꁢ	uA062
U+A063	ꁣ	uA063
U+A064	ꁤ	uA064
U+A065	ꁥ	uA065
U+A066	ꁦ	uA066
U+A067	ꁧ	uA067
U+A068	ꁨ	uA068
U+A069	ꁩ	uA069
U+A06A	ꁪ	uA06A
U+A06B	ꁫ	uA06B
U+A06C	ꁬ	uA06C
U+A06D	ꁭ	uA06D
U+A06E	ꁮ	uA06E
U+A06F	ꁯ	uA06F
U+A070	ꁰ	uA070
U+A071	ꁱ	uA071
U+A072	ꁲ	uA072
U+A073	ꁳ	uA073
U+A074	ꁴ	uA074
U+A075	ꁵ	uA075
U+A076	ꁶ	uA076
U+A077	ꁷ	uA077
U+A078	ꁸ	uA078
U+A079	ꁹ	uA079
U+A07A	ꁺ	uA07A
U+A07B	ꁻ	uA07B
U+A07C	ꁼ	uA07C
U+A07D	ꁽ	uA07D
U+A07E	ꁾ	uA07E
U+A07F	ꁿ	uA07F
U+A080	ꂀ	uA080
U+A081	ꂁ	uA081
U+A082	ꂂ	uA082
U+A083	ꂃ	uA083
U+A084	ꂄ	uA084
U+A085	ꂅ	uA085
U+A086	ꂆ	uA086
U+A087	ꂇ	uA087
U+A088	ꂈ	uA088
U+A089	ꂉ	uA089
U+A08A	ꂊ	uA08A
